animal;sessao;linhagem;tempo;respcorpo;resporelha;resporelha2;respingesta;respcauda;respolho;resporlev;resporass;resporneu;ncorpo;ncabeca;ncabecaor;norelha;ncauda;ningesta;ncaudapos;nolho
519;Se1;s+;Depois;1;0,615577104;0,669334768;0;0,285055556;0,36535998;0,437333333;0,1155;0,273111111;0;1;0;6;0;0;0;1
519;Se1;s+;Durante;1;1;1;0;0,350111111;0,828222222;0,320555556;0,679444444;0;0;0;0;4;40;0;40;14
519;Se2;s+;Antes;0;0;0,2056;1;0;0,91914324;0;0,2056;0,7944;0;3;7;5;6;0;4;12
519;Se2;s+;Depois;0,961666667;0,559316956;0,596433471;1;0,002066667;0,192174914;0,497866667;0,081866667;0,392266667;2;3;19;5;4;0;4;19
519;Se2;s+;Durante;0,294466667;1;1;1;0;0,783842795;0,9736;0,0264;0;0;1;0;0;32;0;32;3
519;Se3;s+;Antes;1;0,82623327;0,848533333;0,038933333;0,009066667;0;0,7202;0,128333333;0,151466667;4;12;20;15;6;0;6;24
519;Se3;s+;Depois;1;0,980611239;0,984041114;0;0,010666667;0;0,795733333;0,1744;0,015733333;4;2;14;0;10;2;10;6
519;Se3;s+;Durante;1;1;1;0;0;0;0,856;0,0928;0;0;1;0;3;28;0;36;18
531;Se1;s-;Antes;1;0;0;0,966066667;0;0,003539341;0;0;1;16;23;32;54;10;0;4;51
531;Se1;s-;Depois;1;0,984681854;0,9896;0;0;0,124181145;0,668533333;0,321066667;0,0104;2;0;8;5;14;0;14;18
531;Se1;s-;Durante;1;1;1;0,053533333;0,016533333;0,286354721;0,743466667;0,256533333;0;0;1;0;3;36;0;33;10
531;Se2;s-;Antes;0;0;0,759388889;1;0;0,974232579;0;0,759388889;0,240611111;0;1;2;3;2;0;0;21
531;Se2;s-;Depois;1;0,043152396;0,043152396;1;0,049555556;0,888888889;0,042222222;0;0,936222222;0;3;0;3;0;0;0;20
531;Se2;s-;Durante;1;1;1;1;0,061111111;0,525775547;0,985555556;0,014444444;0;0;0;0;1;63;0;59;5
531;Se3;s-;Antes;1;0,828135768;0,867;0;0,005066667;0;0,640866667;0,226133333;0,133;0;2;0;2;4;0;0;8
531;Se3;s-;Depois;1;0,990924956;0,992942454;0;0,020266667;0;0,757066667;0,2184;0,006933333;0;1;0;1;0;0;0;16
531;Se3;s-;Durante;1;0,996573387;0,9968;0,1032;0,0056;0;0,930666667;0,066133333;0,0032;0;0;0;0;60;1;40;5
548;Se1;s-;Antes;1;0,146583006;0,233708933;1;0,004;0,147853736;0,129266667;0,100266667;0,7526;2;12;25;10;2;2;0;22
548;Se1;s-;Depois;1;1;1;0;0,009333333;0,289914812;0,985866667;0,014133333;0;8;16;32;30;2;0;0;42
548;Se1;s-;Durante;1;NA;1;1;0;0,934933333;0;1;0;0;3;2;4;8;0;6;14
548;Se2;s-;Antes;1;0,445589299;0,795533333;1;0,0112;0,028368794;0,164333333;0,6312;0,204466667;8;22;45;29;2;0;2;36
548;Se2;s-;Depois;1;0,793611794;0,903643725;0;0,033866667;0,017467249;0,366066667;0,526733333;0,0952;6;15;37;13;2;3;0;32
548;Se2;s-;Durante;1;0,819057105;0,887179133;0;0;0,027249503;0,4934;0,363733333;0,109;2;4;5;5;8;0;8;18
548;Se3;s-;Antes;1;0,987716106;0,988;0;0,040444444;0,202399819;0,964888889;0,023111111;0,012;10;18;47;17;0;0;0;32
548;Se3;s-;Depois;1;0,992459714;0,993111111;0;0,044888889;0,031162137;0,906722222;0,086388889;0,006888889;11;18;46;25;8;0;0;18
548;Se3;s-;Durante;1;1;1;0;0,032888889;0,008587786;1;0;0;0;6;10;0;6;0;6;16
