Idx,Code,Instruction,Extension,OP0,OP1,OP2,OP3,p0156,p06,p23,p237,p4,p1,p15,p015,p5,p0,p05,p01,p6,Min. Latency,Max. Latency,Count
71,CVTSD2SI_GPR32d_MEMsd+R32+M64,CVTSD2SI,SSE2,R32,M64,,,0,0,1,0,0,0,0,0,0,1,0,1,0,12,21,0
72,CVTSD2SI_GPR32d_XMMsd+R32+R64,CVTSD2SI,SSE2,R32,XMM,,,0,0,0,0,0,0,0,0,0,1,0,1,0,7,7,0
73,CVTSD2SI_GPR64q_MEMsd+R64+M64,CVTSD2SI,SSE2,R64,M64,,,0,0,1,0,0,0,0,0,0,1,0,1,0,11,12,0
74,CVTSD2SI_GPR64q_XMMsd+R64+R64,CVTSD2SI,SSE2,R64,XMM,,,0,0,0,0,0,0,0,0,0,1,0,1,0,7,7,0
75,CVTSD2SS_XMMss_MEMsd+R32+M64,CVTSD2SS,SSE2,XMM,M64,,,0,0,1,0,0,0,0,0,1,0,0,1,0,9,12,0
76,CVTSD2SS_XMMss_XMMsd+R32+R64,CVTSD2SS,SSE2,XMM,XMM,,,0,0,0,0,0,0,0,0,1,0,0,1,0,5,5,0
77,CVTSI2SD_XMMsd_GPR32d+R64+R32,CVTSI2SD,SSE2,XMM,R32,,,0,0,0,0,0,0,0,0,1,0,0,1,0,7,7,17
78,CVTSI2SD_XMMsd_GPR64q+R64+R64,CVTSI2SD,SSE2,XMM,R64,,,0,0,0,0,0,0,0,0,1,0,0,1,0,7,7,75313838
79,CVTSI2SD_XMMsd_MEMd+R64+M32,CVTSI2SD,SSE2,XMM,M32,,,0,0,1,0,0,0,0,0,0,0,0,1,0,8,11,0
80,CVTSI2SD_XMMsd_MEMq+R64+M64,CVTSI2SD,SSE2,XMM,M64,,,0,0,1,0,0,0,0,0,0,0,0,1,0,8,11,0
81,CVTSI2SS_XMMss_GPR32d+R32+R32,CVTSI2SS,SSE,XMM,R32,,,0,0,0,0,0,0,0,0,1,0,0,1,0,7,7,0
82,CVTSI2SS_XMMss_GPR64q+R32+R64,CVTSI2SS,SSE,XMM,R64,,,0,0,0,0,0,0,0,0,2,0,0,1,0,8,8,0
83,CVTSI2SS_XMMss_MEMd+R32+M32,CVTSI2SS,SSE,XMM,M32,,,0,0,1,0,0,0,0,0,0,0,0,1,0,8,11,0
84,CVTSI2SS_XMMss_MEMq+R32+M64,CVTSI2SS,SSE,XMM,M64,,,0,0,1,0,0,0,0,0,1,0,0,1,0,9,12,0
85,CVTSS2SD_XMMsd_MEMss+R64+M32,CVTSS2SD,SSE2,XMM,M32,,,0,0,1,0,0,0,0,0,0,0,0,1,0,8,11,0
86,CVTSS2SD_XMMsd_XMMss+R64+R32,CVTSS2SD,SSE2,XMM,XMM,,,0,0,0,0,0,0,0,0,1,0,0,1,0,5,5,0
87,CVTSS2SI_GPR32d_MEMss+R32+M32,CVTSS2SI,SSE,R32,M32,,,0,0,1,0,0,0,0,0,0,1,0,1,0,11,12,0
88,CVTSS2SI_GPR32d_XMMss+R32+R32,CVTSS2SI,SSE,R32,XMM,,,0,0,0,0,0,0,0,0,0,1,0,1,0,7,7,0
89,CVTSS2SI_GPR64q_MEMss+R64+M32,CVTSS2SI,SSE,R64,M32,,,0,0,1,0,0,0,0,0,0,1,0,1,0,11,12,0
90,CVTSS2SI_GPR64q_XMMss+R64+R32,CVTSS2SI,SSE,R64,XMM,,,0,0,0,0,0,0,0,0,1,1,0,1,0,8,8,0
91,CVTTPD2DQ_XMMdq_MEMpd+R128+M128,CVTTPD2DQ,SSE2,XMM,M128,,,0,0,1,0,0,0,0,0,1,0,0,1,0,9,12,0
92,CVTTPD2DQ_XMMdq_XMMpd+R128+R128,CVTTPD2DQ,SSE2,XMM,XMM,,,0,0,0,0,0,0,0,0,1,0,0,1,0,5,5,0
93,CVTTPD2PI_MMXq_MEMpd+R64+M128,CVTTPD2PI,SSE2,MM,M128,,,0,0,1,0,0,0,0,0,1,0,0,1,0,12,19,0
94,CVTTPD2PI_MMXq_XMMpd+R64+R128,CVTTPD2PI,SSE2,MM,XMM,,,0,0,0,0,0,0,0,0,1,0,0,1,0,8,8,0
95,CVTTPS2DQ_XMMdq_MEMps+R128+M128,CVTTPS2DQ,SSE2,XMM,M128,,,0,0,1,0,0,0,0,0,0,0,0,1,0,8,11,0
96,CVTTPS2DQ_XMMdq_XMMps+R128+R128,CVTTPS2DQ,SSE2,XMM,XMM,,,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,0
97,CVTTPS2PI_MMXq_MEMq+R64+M64,CVTTPS2PI,SSE,MM,M64,,,0,0,1,0,0,0,0,0,0,1,0,0,0,10,13,0
98,CVTTPS2PI_MMXq_XMMq+R64+R64,CVTTPS2PI,SSE,MM,XMM,,,0,0,0,0,0,0,0,0,1,1,0,0,0,9,9,0
99,CVTTSD2SI_GPR32d_MEMsd+R32+M64,CVTTSD2SI,SSE2,R32,M64,,,0,0,1,0,0,0,0,0,0,1,0,1,0,12,21,0
100,CVTTSD2SI_GPR32d_XMMsd+R32+R64,CVTTSD2SI,SSE2,R32,XMM,,,0,0,0,0,0,0,0,0,0,1,0,1,0,7,7,0
101,CVTTSD2SI_GPR64q_MEMsd+R64+M64,CVTTSD2SI,SSE2,R64,M64,,,0,0,1,0,0,0,0,0,0,1,0,1,0,11,12,0
102,CVTTSD2SI_GPR64q_XMMsd+R64+R64,CVTTSD2SI,SSE2,R64,XMM,,,0,0,0,0,0,0,0,0,0,1,0,1,0,7,7,0
103,CVTTSS2SI_GPR32d_MEMss+R32+M32,CVTTSS2SI,SSE,R32,M32,,,0,0,1,0,0,0,0,0,0,1,0,1,0,11,12,0
104,CVTTSS2SI_GPR32d_XMMss+R32+R32,CVTTSS2SI,SSE,R32,XMM,,,0,0,0,0,0,0,0,0,0,1,0,1,0,7,7,0
105,CVTTSS2SI_GPR64q_MEMss+R64+M32,CVTTSS2SI,SSE,R64,M32,,,0,0,1,0,0,0,0,0,0,1,0,1,0,11,12,0
106,CVTTSS2SI_GPR64q_XMMss+R64+R32,CVTTSS2SI,SSE,R64,XMM,,,0,0,0,0,0,0,0,0,1,1,0,1,0,8,8,0
107,DIVPD_XMMpd_MEMpd+R128+M128,DIVPD,SSE2,XMM,M128,,,0,0,1,0,0,0,0,0,0,1,0,0,0,13,21,0
108,DIVPD_XMMpd_XMMpd+R128+R128,DIVPD,SSE2,XMM,XMM,,,0,0,0,0,0,0,0,0,0,1,0,0,0,13,15,0
109,DIVPS_XMMps_MEMps+R128+M128,DIVPS,SSE,XMM,M128,,,0,0,1,0,0,0,0,0,0,1,0,0,0,11,18,0
110,DIVPS_XMMps_XMMps+R128+R128,DIVPS,SSE,XMM,XMM,,,0,0,0,0,0,0,0,0,0,1,0,0,0,11,12,0
111,DIVSD_XMMsd_MEMsd+R64+M64,DIVSD,SSE2,XMM,M64,,,0,0,1,0,0,0,0,0,0,1,0,0,0,13,21,243
112,DIVSD_XMMsd_XMMsd+R64+R64,DIVSD,SSE2,XMM,XMM,,,0,0,0,0,0,0,0,0,0,1,0,0,0,13,15,15152953
113,DIVSS_XMMss_MEMss+R32+M32,DIVSS,SSE,XMM,M32,,,0,0,1,0,0,0,0,0,0,1,0,0,0,11,18,0
114,DIVSS_XMMss_XMMss+R32+R32,DIVSS,SSE,XMM,XMM,,,0,0,0,0,0,0,0,0,0,1,0,0,0,11,12,0
115,DPPD_XMMdq_MEMdq_IMMb+R128+M128+I8,DPPD,SSE4,XMM,M128,I8,,0,0,1,0,0,0,0,0,1,0,0,2,0,9,16,0
