n,inst ,lock,set_rex,segment,mem_xchg,p0156,p06,p23,p237,p4,p1,p15,p015,p5,p0,p05,p01,p6,min_lat,max_lat
131,AND_LOCK,1,0,0,0,4,2,2,0,1,0,0,0,0,0,0,0,0,15,30
132,AND_LOCK,1,0,0,0,4,2,2,0,1,0,0,0,0,0,0,0,0,15,30
133,AND_LOCK,1,0,0,0,4,2,2,0,1,0,0,0,0,0,0,0,0,12,30
134,AND_LOCK,1,0,0,0,4,2,2,0,1,0,0,0,0,0,0,0,0,15,29
135,AND_LOCK,1,0,0,0,4,2,2,0,1,0,0,0,0,0,0,0,0,15,29
136,AND_LOCK,1,0,0,0,4,2,2,0,1,0,0,0,0,0,0,0,0,12,29
137,AND_LOCK,1,0,0,0,4,2,2,0,1,0,0,0,0,0,0,0,0,15,29
138,AND_LOCK,1,0,0,0,4,2,2,0,1,0,0,0,0,0,0,0,0,15,29
139,AND_LOCK,1,0,0,0,4,2,2,0,1,0,0,0,0,0,0,0,0,12,29
140,AND_LOCK,1,0,0,0,4,2,2,0,1,0,0,0,0,0,0,0,0,15,30
141,AND_LOCK_NOREX,1,0,0,0,4,2,2,0,1,0,0,0,0,0,0,0,0,12,30
142,AND_LOCK_REX,1,0,0,0,4,2,2,0,1,0,0,0,0,0,0,0,0,12,30
143,AND_NOREX,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,11
144,AND_NOREX,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
145,AND_NOREX,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,6
146,AND_NOREX_20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
147,AND_NOREX_22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
148,AND_REX,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,11
149,AND_REX,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
150,AND_REX,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,6
151,AND_REX_20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
152,AND_REX_22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
153,BSF,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,8
154,BSF,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3
155,BSF,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,8
156,BSF,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3
157,BSF,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,8
158,BSF,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3
159,BSR,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,8
160,BSR,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3
161,BSR,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,8
162,BSR,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3
163,BSR,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,8
164,BSR,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3
165,BSWAP,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
166,BSWAP,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,2
167,BT,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,6
168,BT,0,0,0,0,4,3,1,0,0,1,0,1,0,0,0,0,0,3,11
169,BT,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,6
170,BT,0,0,0,0,4,3,1,0,0,1,0,1,0,0,0,0,0,3,11
171,BT,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,6
172,BT,0,0,0,0,3,3,1,0,0,1,0,1,0,0,0,0,0,3,10
