n,inst ,p0156,p06,p23,p237,p4,p1,p15,p015,p5,p0,p05,p01,p6,min_lat,max_lat
102,VCVTSI2SD,0,0,1,0,0,0,0,0,0,0,0,1,0,4,11
103,VCVTSI2SD,0,0,1,0,0,0,0,0,0,0,0,1,0,4,11
104,VCVTSI2SD,0,0,0,0,0,0,0,0,1,0,0,1,0,4,7
105,VCVTSI2SD,0,0,0,0,0,0,0,0,1,0,0,1,0,4,7
106,VCVTSI2SS,0,0,1,0,0,0,0,0,0,0,0,1,0,4,11
107,VCVTSI2SS,0,0,1,0,0,0,0,0,1,0,0,1,0,1,12
108,VCVTSI2SS,0,0,0,0,0,0,0,0,1,0,0,1,0,4,7
109,VCVTSI2SS,0,0,0,0,0,0,0,0,2,0,0,1,0,2,8
110,VCVTSS2SD,0,0,1,0,0,0,0,0,0,0,0,1,0,4,11
111,VCVTSS2SD,0,0,0,0,0,0,0,0,1,0,0,1,0,4,5
112,VCVTSS2SI,0,0,1,0,0,0,0,0,0,1,0,1,0,11,12
113,VCVTSS2SI,0,0,0,0,0,0,0,0,0,1,0,1,0,7,7
114,VCVTSS2SI,0,0,1,0,0,0,0,0,0,1,0,1,0,11,12
115,VCVTSS2SI,0,0,0,0,0,0,0,0,1,1,0,1,0,8,8
116,VCVTTPD2DQ,0,0,1,0,0,0,0,0,1,0,0,1,0,9,12
117,VCVTTPD2DQ,0,0,1,0,0,0,0,0,1,0,0,1,0,12,15
118,VCVTTPD2DQ,0,0,0,0,0,0,0,0,1,0,0,1,0,5,5
119,VCVTTPD2DQ,0,0,0,0,0,0,0,0,1,0,0,1,0,7,7
120,VCVTTPS2DQ,0,0,1,0,0,0,0,0,0,0,0,1,0,8,11
121,VCVTTPS2DQ,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4
122,VCVTTPS2DQ,0,0,1,0,0,0,0,0,0,0,0,1,0,9,12
123,VCVTTPS2DQ,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4
124,VCVTTSD2SI,0,0,1,0,0,0,0,0,0,1,0,1,0,12,21
125,VCVTTSD2SI,0,0,0,0,0,0,0,0,0,1,0,1,0,7,7
126,VCVTTSD2SI,0,0,1,0,0,0,0,0,0,1,0,1,0,11,12
127,VCVTTSD2SI,0,0,0,0,0,0,0,0,0,1,0,1,0,7,7
128,VCVTTSS2SI,0,0,1,0,0,0,0,0,0,1,0,1,0,11,12
129,VCVTTSS2SI,0,0,0,0,0,0,0,0,0,1,0,1,0,7,7
130,VCVTTSS2SI,0,0,1,0,0,0,0,0,0,1,0,1,0,11,12
131,VCVTTSS2SI,0,0,0,0,0,0,0,0,1,1,0,1,0,8,8
132,VDIVPD,0,0,1,0,0,0,0,0,0,1,0,0,0,13,21
133,VDIVPD,0,0,0,0,0,0,0,0,0,1,0,0,0,13,15
134,VDIVPD,0,0,1,0,0,0,0,0,0,1,0,0,0,13,22
135,VDIVPD,0,0,0,0,0,0,0,0,0,1,0,0,0,13,15
136,VDIVPS,0,0,1,0,0,0,0,0,0,1,0,0,0,11,18
137,VDIVPS,0,0,0,0,0,0,0,0,0,1,0,0,0,11,12
138,VDIVPS,0,0,1,0,0,0,0,0,0,1,0,0,0,11,19
139,VDIVPS,0,0,0,0,0,0,0,0,0,1,0,0,0,11,12
140,VDIVSD,0,0,1,0,0,0,0,0,0,1,0,0,0,13,21
141,VDIVSD,0,0,0,0,0,0,0,0,0,1,0,0,0,13,15
142,VDIVSS,0,0,1,0,0,0,0,0,0,1,0,0,0,11,18
143,VDIVSS,0,0,0,0,0,0,0,0,0,1,0,0,0,11,12
144,VDPPD,0,0,1,0,0,0,0,0,1,0,0,2,0,9,16
145,VDPPD,0,0,0,0,0,0,0,0,1,0,0,2,0,9,9
146,VDPPS,0,1,1,0,0,0,0,0,1,0,0,3,0,13,20
