Idx,Code,Instruction,OP0,OP1,OP2,LOCK,SET -REX,SEGMENT,MEM_XCHG,p0156,p06,p23,p237,p4,p1,p15,p015,p5,p0,p05,p01,p6,Min. Latency,Max. Latency,Count
129,AND_LOCK_MEMv_GPRv+M16+R16,AND_LOCK,M16,R16,,1,0,0,0,4,2,2,0,1,0,0,0,0,0,0,0,0,12,30,0
130,AND_LOCK_MEMv_GPRv+M32+R32,AND_LOCK,M32,R32,,1,0,0,0,4,2,2,0,1,0,0,0,0,0,0,0,0,12,29,0
131,AND_LOCK_MEMv_GPRv+M64+R64,AND_LOCK,M64,R64,,1,0,0,0,4,2,2,0,1,0,0,0,0,0,0,0,0,12,29,0
132,AND_LOCK_MEMv_IMMb+M16+I8,AND_LOCK,M16,I8,,1,0,0,0,4,2,2,0,1,0,0,0,0,0,0,0,0,15,30,0
133,AND_LOCK_MEMv_IMMb+M32+I8,AND_LOCK,M32,I8,,1,0,0,0,4,2,2,0,1,0,0,0,0,0,0,0,0,15,29,0
134,AND_LOCK_MEMv_IMMb+M64+I8,AND_LOCK,M64,I8,,1,0,0,0,4,2,2,0,1,0,0,0,0,0,0,0,0,15,29,0
135,AND_LOCK_MEMv_IMMz+M16+I16,AND_LOCK,M16,I16,,1,0,0,0,4,2,2,0,1,0,0,0,0,0,0,0,0,15,30,0
136,AND_LOCK_MEMv_IMMz+M32+I32,AND_LOCK,M32,I32,,1,0,0,0,4,2,2,0,1,0,0,0,0,0,0,0,0,15,29,0
137,AND_LOCK_MEMv_IMMz+M64+I32,AND_LOCK,M64,I32,,1,0,0,0,4,2,2,0,1,0,0,0,0,0,0,0,0,15,29,0
138,AND_MEMb_GPR8+M8+R8,AND_NOREX,M8,R8,,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,11,1240031
139,AND_MEMb_GPR8+M8+R8,AND_REX,M8,R8,,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,11,1240031
140,AND_MEMb_IMMb_80r4+M8+I8,AND,M8,I8,,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,3,11,171646532
141,AND_MEMv_GPRv+M16+R16,AND,M16,R16,,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,11,0
142,AND_MEMv_GPRv+M32+R32,AND,M32,R32,,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,10,177
143,AND_MEMv_GPRv+M64+R64,AND,M64,R64,,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,10,51604350
144,AND_MEMv_IMMb+M16+I8,AND,M16,I8,,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,3,11,96749
145,AND_MEMv_IMMb+M32+I8,AND,M32,I8,,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,3,10,127052656
146,AND_MEMv_IMMb+M64+I8,AND,M64,I8,,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,3,10,1247827
147,AND_MEMv_IMMz+M16+I16,AND,M16,I16,,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,3,11,15990
148,AND_MEMv_IMMz+M32+I32,AND,M32,I32,,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,3,10,317789598
149,AND_MEMv_IMMz+M64+I32,AND,M64,I32,,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,3,10,87
150,AND_OrAX_IMMz+I16,AND,AX,I16,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,380456073
151,AND_OrAX_IMMz+I32,AND,EAX,I32,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,28587981524
152,AND_OrAX_IMMz+I32,AND,RAX,I32,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,28587981524
153,BSF_GPRv_GPRv+R16+R16,BSF,R16,R16,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,0
154,BSF_GPRv_GPRv+R32+R32,BSF,R32,R32,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,427
155,BSF_GPRv_GPRv+R64+R64,BSF,R64,R64,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,2750233815
156,BSF_GPRv_MEMv+R16+M16,BSF,R16,M16,,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,8,0
157,BSF_GPRv_MEMv+R32+M32,BSF,R32,M32,,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,8,0
