"","n","inst","lock","segment","p0156","p06","p23","p237","p4","p1","p15","p0","p05","min_lat","max_lat","count","pred_min","pred_max","pearson_min","pearson_max","raw_min","raw_max"
"488",487,"MOVSW","0",0,2,0,2,"0","1","0","0","0",0,6,6,0,6.02147143118122,12.6945236270878,0.882755710892426,-0.724894318552947,-0.0214714311812214,-6.69452362708781
"513",512,"MOV_DR","0",1,0,24,0,"0","1","1","1","1",0,207,207,0,1272.89412587828,246.091747010013,-0.851916378521836,-0.362595404710319,-1065.89412587828,-39.0917470100126
"514",513,"MOV_DR","0",1,0,16,0,"0","0","0","0","0",2,172,172,0,7.43266371345573,8.65841684409715,0.458457174330199,23.9625437522576,164.567336286544,163.341583155903
"537",536,"MOV","0",0,0,0,0,"1","1","0","0","0",0,11,11,20049471134,3.21554247183913,6.19594261740724,1.9119412779475,0.915019306894026,7.78445752816087,4.80405738259276
"544",543,"MOV","0",0,0,0,0,"1","1","0","0","0",0,11,11,16282,3.21554247183913,6.19594261740724,1.9119412779475,0.915019306894026,7.78445752816087,4.80405738259276
"545",544,"MOV","0",0,0,0,0,"1","1","0","0","0",0,10,10,39233430209,3.21554247183913,6.19594261740724,1.75561130163575,0.724551284965406,6.78445752816087,3.80405738259276
"546",545,"MOV","0",0,0,0,0,"1","1","0","0","0",0,10,10,53591125097,3.21554247183913,6.19594261740724,1.75561130163575,0.724551284965406,6.78445752816087,3.80405738259276
"547",546,"MOV","0",0,0,0,0,"1","1","1","0","0",0,11,11,0,5.05837623161287,8.23430309759269,1.02014150983427,0.422067108816073,5.94162376838713,2.76569690240731
"636",635,"POP","0",0,0,0,1,"1","1","0","0","0",0,11,11,0,2.66962573531657,9.97848632039469,3.65907549184846,0.133977267681257,8.33037426468343,1.02151367960531
"637",636,"POP","0",0,0,0,1,"1","1","0","0","0",0,10,10,0,2.66962573531657,9.97848632039469,3.36071343642942,0.00282164014915932,7.33037426468343,0.021513679605313
"639",638,"PUSH_W","0",0,0,0,0,"1","1","1","0","0",0,12,12,0,5.05837623161287,8.23430309759269,1.09196703289498,0.574674977179631,6.94162376838713,3.76569690240731
"640",639,"PUSH","0",0,0,0,0,"1","1","1","0","0",0,11,11,0,5.05837623161287,8.23430309759269,1.02014150983427,0.422067108816073,5.94162376838713,2.76569690240731
"641",640,"PUSH","0",0,0,0,0,"1","1","0","0","0",0,3,12,0,3.21554247183913,6.19594261740724,-1.43740160838481,1.10548732882265,-0.215542471839131,5.80405738259276
